kingdom	superclass	class	subclass	direct_parent	rows
0	2	1863	1863	1863	7992
0	2448	18	1911	2424	7975
0	2	218	1158	3203	7971
0	2	1833	1833	1833	7969
0	4150			4150	7959
0	2448	2279	284	3968	7954
0	264	402	408	3458	7938
0	2	213	216	216	7917
0	12	258	3569	3569	7813
0	12	259	1283	1771	7810
0	2	4191	3409	1873	7806
0	12	258	258	258	7747
0	12	259	2049	2049	7707
0	264	1813	1939	1939	7683
0	2	2322	2322	2322	7682
0	4	510	510	510	7671
0	12	256	2218	1367	7654
0	4603	323	1831	133	7639
0	264	364	2022	2022	7605
0	4603	323	1831	3674	7582
0	2	1396	1855	1855	7568
0	267	2868	2861	2861	7561
1	423	453	553	553	7553
0	2448	2279	176	4702	7446
0	2448	2279	467	467	7407
0	261	2754	2754	2754	7384
0	2	1985	1985	1985	7375
0	4603	323	11	1497	7363
0	2448	2279	1220	1220	7359
0	12	3909	504	504	7350
0	2	1253	4083	4083	7343
0	4603	323	1831	122	7332
0	2	220	220	220	7323
0	264	265	13	2964	7323
0	2	98	4105	4731	7317
0	4603	323	11	3048	7315
0	2448	2279	176	2514	7312
0	2	90	2257	2809	7288
0	2	436	1822	2925	7251
0	2	195	3087	3088	7242
0	2	231	232	232	7236
0	2	1253	1908	1908	7230
0	2448	2279	4676	4676	7228
0	279	492	2919	2919	7203
0	2	1253	56	1291	7188
0	12	3909	262	262	7181
0	12	258	3566	3566	7176
0	2	1346	75	1122	7172
0	264	4434	270	270	7169
0	4707	278	398	398	7160
0	264	265	13	4316	7149
0	2	294	1891	1891	7129
0	2	2958	2958	2958	7127
0	4707	278	4504	4453	7123
0	2	211	210	1865	7117
0	2448	2279	285	4717	7116
1	423	434	434	434	7077
0	289	479	2177	2177	7073
0	2	91	91	91	7042
0	2448	2279	176	2788	7020
0	279	1909	1909	1909	7011
0	261	1614	1389	1389	6987
0	289	1506	1544	1617	6982
0	12	256	2219	1344	6968
0	2	97	4336	4338	6958
0	289	3737	3737	3737	6950
0	2	1346	75	1978	6944
0	2	2491	250	1149	6938
0	2	211	2243	2243	6929
0	261	145	3484	3485	6860
0	2	436	93	4002	6797
0	267	2867	1027	3962	6775
0	2	436	93	4668	6756
0	2448	2279	4629	4629	6751
0	12	258	1125	1125	6746
0	264	402	408	3459	6742
0	264	403	403	403	6721
0	264	265	265	265	6721
0	12	258	1445	516	6714
0	4707	278	2449	1088	6709
0	279	240	240	240	6694
0	267	2867	4157	4160	6685
0	261	253	1331	1331	6654
0	2448	134	1272	1273	6618
0	2	1455	1455	1455	6594
0	462	1370	3194	4446	6589
0	2	1132	1132	1132	6578
0	2	312	2818	2818	6537
0	2	1253	56	1896	6519
0	2	123	3410	2339	6493
0	2	70	70	70	6485
0	2	1253	3953	3953	6469
0	2448	134	1272	1275	6464
0	2448	1850	1850	1850	6451
0	2	89	3317	3318	6379
0	2	94	1347	1347	6372
0	4603	323	1168	1168	6372
0	2	4377	4377	4377	6359
0	12	259	2049	1755	6354
0	4603	323	11	2259	6342
0	279	1775	4121	4121	6323
0	12	258	1194	3058	6312
0	2448	134	4628	4628	6306
0	289	480	2182	2182	6288
0	264	265	1093	1662	6287
0	400	1438	1438	1438	6257
0	2	2313	2313	2313	6254
0	267	1518	1518	1518	6221
0	261	253	4785	4785	6211
0	2448	2279	4007	4007	6207
0	2	4193	4193	4193	6204
0	2	1818	1818	1818	6198
0	261	145	358	202	6194
0	2448	2279	285	4719	6169
