subclass	direct_parent	intermediate_nodes	rows
405	4059	4055,4237	162
2010	2009	2010	161
2585	2593	2585	161
490	4706	490	161
4079	4079		161
1721	1721		160
36	4613	36	159
2524	2525	2524	159
3413	3682		159
1093	1239		159
2219	2101	1355	159
503	386	503,1012	158
1550	3583	1550,2004	158
1831	3420	1831,3677	157
3194	3200	3194	157
1907	1907		157
1534	4109	1547	157
3631	3631		157
1615	3501		156
425	425		155
1578	1109	1578	155
13	4045	348,1995	155
1551	2999	1767	155
1602	1602		155
1604	1613	1604,3424	154
2651	356	2651	154
4105	4735	4105	154
2680	2030		154
3887	3887		154
3258	3257	1419,3258	154
121	2025		154
3327	3181	3180	153
1524	4347	1524,4348	153
13	4787	13,318,347,1162	153
1887	1887		153
336	336		153
56	1896	56	152
428	428		151
176	4576	176,487,1248	151
503	1282	503	151
1353	1353		151
1360	1360		151
411	3079	411	150
779	779		150
3410	1736	144	150
1551	1595		150
1470	1482		149
2724	2726		149
2257	2809	2257,2258	148
4052	4052		148
1871	4690	2349,4687	148
129	2511	129,1292,2509	147
74	1924	74	147
513	1020		147
2147	2249	1904	147
4496	4496		147
176	2611	176,2565	146
1817	1817		146
117	117		146
1194	3252	3026	146
2219	3848		146
2320	2768	2320,2764	145
11	2260	11,1498,1540	144
1831	122	118,1831	144
3413	203	199,3413	144
1470	1476		144
2724	2730		144
408	4696	408,4616,4617	143
2064	2064		143
3392	1131	3392	143
324	1463		143
3741	3721		143
1831	2437	2433,3131	142
1125	1559	1125,1555	141
75	1927	75	141
1111	3555	1361,1583	141
1551	3548		141
2147	1620	2147	140
129	2512	129,1292,2509	140
99	234		140
270	3311	3136	140
358	1532	149,2568	139
2215	3833		139
11	1501	1540	139
262	338	262	138
482	482		138
2037	2037		138
2546	2546		138
2213	4262	3829	137
1111	2996	1111,1361,1583	137
1550	3545		137
2843	2848	2846	137
13	271	13,318,347	136
536	536		136
1544	1627		136
2578	2578		136
2077	2077		136
1385	1385		136
2500	2500		135
95	2636	95	135
565	565		135
569	569		135
1434	1434		135
4380	4380		135
176	4701	1350	135
139	3698		135
2656	2656		134
1551	2871		134
1831	2913	118,1831	133
4097	4098	4097	133
2586	2689	2586,2602	133
579	579		133
846	846		133
684	684		133
235	1327		133
1204	3662		133
2148	2156	2150	133
1831	2432	124	133
4062	4062		133
2449	1145	1897,2449,2460	132
75	1287	1285	132
3914	3429		132
3392	1394	1427	132
2213	3829	2213	131
4198	4199		131
3410	4773	144	131
13	4316	13,60,347	130
80	4552	80	130
3632	3632		130
4116	4116		130
562	562		130
1551	2875	1551	130
3164	3164		130
1295	3243	3241	130
1286	136	1286	129
1864	2409	1864	129
284	1141	284	129
572	572		129
112	3295	112,116	129
1295	2985	3027	129
270	3081		129
490	4705	490	128
4079	4080		128
1093	3223	376,475,1662	128
3480	3478		128
1792	1792		127
110	2618	3042	127
3774	3774		127
4324	4324		126
3410	4763	3522	126
2449	3069	496	126
56	1714	56	125
1524	4071		125
2724	1703		125
2221	2221		124
1551	2906	1551,2875	124
2217	332	2217	124
176	3106	176,2086,3105	124
176	4000	281,1917	124
2214	1556	1504	124
1550	3581	2004,3583	124
405	4239	405,4056	123
2554	2556	2554	123
15	4519	15,4520	123
324	1726	1725	123
1286	2624	136	123
1551	4014	1767,2999	123
1831	3446	118,3444	123
3005	4181		123
248	248		123
2524	2526		123
375	474	375	122
637	3063	1773,3062,3819	122
11	2815	11,215,374,2094	121
1612	1827	1612	121
1027	3960	1027,3961	120
176	4578	176,487,1248,4576	120
4586	4587		120
2892	2893	2892	120
3878	3878		120
13	1588	60,347,2404	120
855	855		119
517	2024	2022	119
1550	3655	1550	118
1213	1916	1213	118
1194	3060	1194	118
3021	3021		118
1286	2698	135,2696	118
2743	2743		117
433	433		117
95	225	95	117
3808	1597	1133,3808	117
2340	3056		117
513	1021	513	117
2680	371	2030	117
3815	3817		117
2112	2112		117
141	4505	141	116
1152	2459	1152	116
9	9		116
1831	2122	118,125,1831,3487	116
859	859		116
2213	3826	2213	116
1391	2503	1391	115
337	1584	337,3012	115
1550	2874	1550	115
1072	1072		115
1204	3870	1204,3662	115
3152	3152		115
110	3039	110,255,1228	114
1418	1669	1418	114
2852	2852		114
395	4091	395	114
3194	4480	3194,4445,4479	114
112	2483		114
3873	3873		114
4681	4681		114
2428	2428		114
4776	2443	4779	114
3194	3205	3194,4446	113
3087	3088	3087	113
4789	4167	485,4789	113
3624	2905		113
1831	2075	118,125,3487	113
2468	2472		112
3364	3492		112
4383	4383		112
2147	1621	2147	111
11	2210	11	111
79	1402		111
1111	3541	1583,2934	111
414	414		111
4789	2378	486,4789	110
3410	3543	3410	110
2670	2670		110
994	994		110
2858	2858		109
1125	1555	1125	109
575	575		109
1551	4013	1551,1767,2998	109
15	3029	1378	109
1842	1842		109
2134	2170	2135	109
190	1706		109
4379	4379		109
1550	2051	1550	108
3194	3268	3201	108
1235	4175		108
129	2509	129,1292	107
2664	2664		107
1534	1937	2801	107
2991	2993	2991	107
637	3820	3822	107
337	3642		107
2213	3828		107
4457	4457		107
1078	1078		106
41	3956	41,3955	106
551	551		106
1822	2924	1822	106
4372	4372		106
2991	2990	2991	106
1295	2971	3027	106
513	387		105
3410	4775	144,3410	105
375	4667	375	105
3484	3486	3484	105
657	657		105
93	4002	93,2562,4001	105
1263	1256	1263	105
1551	1760	1551	105
1554	1554		104
408	4781		104
2752	2752		104
3914	3914		104
2067	4094		104
1550	2440	1550	103
2657	2657		103
4258	2626	4258	102
4434	4434		102
3406	3406		102
2908	2909	2908	102
4026	4026		102
1550	1781		102
284	4747	4744	101
3327	3184	3180,3183	101
408	1266	408	100
3327	3207	3180	100
324	1461	324	99
1630	3473	1630	99
637	3259	637,3067,3822	99
2991	2988		99
2081	2081		99
3480	3479		99
3690	3690		99
1604	3421		99
3327	1090	3327	98
384	1249	384	98
390	391	390,4096	98
1213	1913	1213	98
4124	4124		98
4766	4769		98
2134	2142	2135	98
2215	3831		98
1604	1968	3424	98
3809	3812		98
4629	4630	4629	97
2449	1088	2449,2460	97
661	661		97
3272	3272		97
1491	1494		97
3132	3133		97
4632	4633		97
1382	1382		97
2148	2162	2148,2153	96
1966	4259	1966	96
1093	376	475,1093,1662	96
117	1673	117	96
1111	3681	1583	96
3194	4446	3194	95
2838	2840	2838	95
1111	1737	1111	95
358	2569		95
4504	4084	362	95
1529	4569	4568	95
2216	3840		95
2219	3849		95
11	2365	11,2105	94
176	2788	176,2086,2786	94
1027	3961	1027	94
3410	3521	200,204,2817,3410	94
2757	2757		94
3767	3767		94
2214	1397		94
567	567		93
112	114	112	93
83	2639	83	93
1623	1623		93
1524	4072	1524,4066	92
4549	4549		92
668	668		92
1668	3198		92
2197	2197		92
112	1207	112	92
4766	4767		92
1551	3397		92
1572	4623	1572	91
2838	1019	2838,2839	91
4024	4065		91
1041	1041		91
2585	2587		91
110	2283		91
13	1813		91
1379	1381	1379	90
112	2038		90
250	2274	1149,1150,2273	90
112	1208	112,1207	90
2215	3187		90
2218	1407		90
503	1012	503	89
2213	1638	1413,2213	89
2449	3900		89
2658	2658		89
2740	2741		89
4198	4198		89
1550	2873		89
73	73		89
2585	2595	2585	88
414	3951	414	88
2320	2771	2320,2766	88
405	405		88
3327	3175	1090	88
	4557		88
1125	1557	1125	87
1831	156	118,1831,3487	87
1803	1803		87
2892	2894	2892	87
1026	4522		87
4132	4114		87
1491	1502	1491	86
337	3508	337,3642	86
559	559		86
2134	2139	2136	86
11	3574	11,282,1675,3305,3575	85
176	4577	176,487,1248,4576	85
4443	4443		85
117	2394	117,1267	85
1831	280	118,1831	85
1551	3788	1551	85
2681	2681		85
411	1010	411	85
210	4720	210	85
104	104		85
3385	3385		85
2823	2825		85
3221	3221		85
11	1849		85
162	4410	162,168,173	84
2103	2103		84
2783	2783		84
2795	4571	4570	84
4435	4435		84
513	46	513	83
2373	2373		83
2215	1677	1405,2215	83
353	352	353	83
284	4391		83
1551	3400	3401	83
1295	3027	1295	82
	462		82
1093	3989	1093,1238	82
	3865		82
1111	3535	1111,1737	82
775	775		82
3431	3431		82
3111	3111		82
148	148		82
2148	2165	2150	82
337	3646		82
2214	1406		82
13	1939	1813	82
1572	3384	1572	81
531	531		81
3194	4698	3194	81
1822	2925	1822	81
3471	3471		81
2991	2994		81
15	4519	4520	81
645	645		80
991	991		80
1876	2422	1876	80
1465	1465		80
915	915		80
4024	4289		80
1310	2519	382	80
2585	2589		80
1534	1294	2802	79
2022	2024	517,2022	79
2843	2438	1301,2843,2847	79
3132	4715	3132	79
833	833		79
637	3067	637,3822	79
2261	2261		79
3797	3797		79
3258	1439		79
1044	1044		79
1831	2088	1831	78
1534	1545	1534,2802	78
1283	2502	1283,1538	78
513	1007	46	78
1111	3534	1111,1583,2934	78
3876	3876		78
2942	2942		78
80	1856		78
2219	4251	1344	77
189	4400	1976	77
2462	2462		77
2399	2399		77
3410	1735	144,3410	76
390	4096	390	76
32	2761	32,34	76
2148	2166	2148,2151	76
3327	3176	1090,1328	76
284	4745	4744	76
13	1224	60,347,1189	76
176	3539	176,1248,1251	75
1787	1787		75
4208	4212	4208	75
2131	2130	2131	75
112	2235	112,2392	75
1612	3527	1612,1827	75
1551	2916	1551	75
2586	2604		75
4507	4507		75
2059	2059		74
2468	2041		74
270	2095	3136	74
3761	3761		74
3716	3716		73
183	4273	1637,4271	73
2215	1680	1405	73
1036	1036		73
517	2022		73
2215	1680	1405,2215	73
1263	1263		72
1612	3525	1612,1827	72
1534	1546	1534	72
11	3573	11,282,1675,3305,3575	72
522	522		72
1831	3672	1831,3131	72
4105	4637	4105	72
1065	1065		72
3130	3130		72
3775	3775		72
2134	2176	2173	72
110	1228		72
2449	2460	2449	71
2134	2141	2134,2135	71
162	1458	162,168,173	71
1026	4521	1026	71
151	3952	151	71
2368	2368		71
866	866		71
110	2954	110,2618,3042	71
513	1422	513	71
2468	2471		71
418	4697		71
532	532		71
1766	1462		71
1445	1110	1445,2194	70
3410	4774	2339,3410	70
1295	3236	1295	70
1806	1806		70
935	935		70
2586	2600		70
1615	3587		70
4359	4359		70
11	4135	1498,1540	70
2134	2143	2138	70
4192	4192		70
2680	2746	2680	69
4590	4590		69
3809	1647	1129,3809	69
4166	4166		69
558	558		69
1013	1447	1013	69
1111	2997	1111,1361,1583	69
513	30	513	69
2586	2603		69
110	1651	110	68
2320	2776	2320,2763	68
527	527		68
1283	2046	1283,1543	68
577	577		68
3299	3299		68
108	197	108,196	67
1322	4627	1322,2414,4624	67
324	1724	1461	67
4040	4067	4038,4040	67
4053	4053		67
757	757		67
2944	2944		67
3939	3939		67
4803	4803		67
552	552		66
1093	4684	1093,1165	66
2704	2707	2704	66
2661	2661		66
1867	1867		66
1283	2047	1543	66
505	4783		66
3536	3537		66
2758	2758		66
1534	2802	1534	65
3455	1184	3455	65
605	605		65
2523	2523		65
190	1709		65
2586	2601		65
1524	4085	4071	65
4776	3034	4776	64
369	143	369	64
345	345		64
1035	1035		64
1111	2711	1111,1583,2708,3678	64
2935	2935		64
216	241		64
4326	4326		64
331	3189	3188	64
1286	182	135,1286	63
245	1505	245,597	63
4504	4453	362,4504	63
83	2640	83	63
11	2255	1540,1541	63
2703	2703		63
1908	4423		63
2218	2218		63
2134	2172	2137	63
2382	2549		63
2164	2164		63
2214	2688	1683	63
3166	3166		63
411	3078	411	62
4164	4662	4164	62
4776	3947	4776,4777	62
570	570		62
1855	2558	1855	62
2468	2470		62
1871	4688	1871,2349,4687	62
3808	1133		62
2791	2791		62
1093	4666	475	62
1470	273		62
637	3818	3819	62
2759	2759		62
2449	4797	3899,3924,4796	62
11	1542	11	61
93	2326	93	61
1057	1057		61
176	2789	176,2086,2787	61
1550	3562	1550,1781	61
961	961		61
1551	4015	1767,2999	61
13	1192	13,318,347	60
405	4282		60
1831	2492	118,1831,2384,2495,3487	60
1630	3509	1630	60
517	2444	1229	60
110	2263		60
3996	3996		60
1550	3752	1550	59
2291	2291		59
337	3639		59
4741	4741		59
853	853		59
1093	4527	475,1093	58
3607	3607		58
2449	470	2449	58
839	839		58
1093	1240		58
405	4238		58
13	4320	13,60,347	57
337	1362	337,1632	57
1822	2057	1822,2056	57
1612	3526	1612,1827	57
129	4343	129,1292,2509,2510	57
2723	2723		57
408	3457	408	57
148	1130	1128	57
270	3075	270,2237,3074	57
2585	2590	2585	57
2211	2232	2211	57
2050	2050		57
3194	4609	4445	57
1604	3423	1604	57
2586	3651	2586,2606	57
655	655		57
1962	1962		57
2677	2677		57
3371	3371		57
1908	2826	274,1763,1810	57
2218	3837		57
1524	4090	1524,4071	56
524	524		56
3465	3465		56
2824	2824		56
1492	1495		56
1831	2385	118,2495,3487	56
1111	3678	1111,1583	56
2148	2160	2152	56
1766	2201	1766	55
1055	1055		55
2818	4636	2818	55
528	528		55
3913	3913		55
1033	1033		55
2214	1688	1320,1683	55
75	1285	75	54
1551	2738	1551,3401	54
162	2362	162,167	54
358	2833	202,358,2569	54
1534	1547	1534	54
696	696		54
513	515	513	54
1535	3855	478	54
405	4237	4055	54
815	815		54
2468	2430		54
324	1745	1744	54
3466	3466		54
2214	1288		54
337	1587	337,1584,3012	53
176	3009	176,487,1248,3008	53
2810	4561	2810	53
547	547		53
	0		53
250	2274	250,1149,1150,2273	53
2215	3402	1393,2215	53
644	644		53
2538	2538		53
1418	2963	1418	53
245	1998	245	53
2192	2192		53
1931	1931		53
2287	2417	2287	52
2585	2588	2585	52
1391	4559	2503	52
4648	4648		52
11	4135	11,1498,1540	52
13	2009	1813,2010	52
2220	1139		52
1544	4547	1544,1617	51
2680	2030	2680	51
176	1779	176,281	51
1194	3059	1194	51
324	3657	1725	51
1734	5		51
176	4295	2565	51
324	3324	1723,3325	51
1310	397	1310	50
3410	2817	3410	50
892	892		50
504	512	504	50
96	96		50
2724	2725		50
4132	4133	4132	50
3725	3725		50
1750	1750		50
1295	3242	3241	50
2134	2145	2134,2137	49
1544	2208	26,1544	49
503	1281	503	49
1445	1159	1445	49
2795	4575	2795,4570	49
2320	2774	2320,2765	49
358	1532	149,358,2568	49
235	3202	235,1327	49
727	727		49
324	1725		49
3704	3704		49
1535	3860	478,1535	48
2213	1289	2213	48
2214	1685	1320,1683,2214	48
4665	4665		48
1831	2435	124,1831	48
405	4055	405	48
1529	1529		48
1445	1124	1445	48
1837	1837		48
2257	2028	2257	48
1470	1479		48
1391	3003	1391,3002	48
4105	4721	4105,4639	47
3636	3636		47
3326	3326		47
2227	2227		47
2219	3850		47
2449	3070	496	47
2908	2907	2908	47
408	4618	408,4616	46
2147	1622	2147	46
11	3305	11	46
11	1499	11,1540	46
517	2444	517,1229	46
4766	4767	4766	46
679	679		46
831	831		46
3815	4782	3815	46
245	249	245	46
1080	1843	1080	46
1188	2251	1188	46
3495	3495		46
2468	2473		46
1551	2890		46
3736	3736		46
3327	3224	1090,2960	46
3392	1399	1427,3392	46
11	2814	11,215,374,2094	45
1085	1085		45
513	1525		45
1552	2883	1552	45
1554	1411	1277,1554	45
1125	1558	1557	45
1283	1543	1283	45
1027	3958	1027,3962	45
1550	1776	1550,1777	45
2795	4574	2795,4570	45
694	694		45
2073	2073		45
1535	4276	478	45
2991	2914		45
78	1225	78,2310	44
1061	1061		44
1093	3627	1093,1238,3628	44
3777	3777		44
405	4641	3986,4280	44
3463	3463		44
2134	2146	2137	44
3708	3708		44
3735	3735		44
3410	4772	144	44
1572	4771	1572,4623	43
2586	2604	2586	43
2214	1556	1504,2214	43
2554	2555	2554	43
3019	3019		43
3410	3519	200,204,2817,3410	43
3763	3763		43
1155	2779		43
358	2831	202,2569	43
3327	1653	1090,3327	42
1831	1223	118,1831	42
2148	2168	2148,2153	42
2213	4262	2213,3829	42
2320	2775	2320,2765	42
841	841		42
300	300		42
560	560		42
1668	3197		42
734	734		42
767	767		42
2508	2898	2508	42
797	797		42
1961	1964		42
2340	3054		42
1881	1881		42
1615	3504	1615	41
3993	4183	3993	41
176	487	176,1248	41
1536	1536		41
3706	3706		41
56	2240	56	41
2485	2485		41
1550	3584		41
3597	3596	3593	41
4693	4694		41
3916	3428		41
2991	2989		41
396	4092		41
1452	1452		41
2484	1231	2484	40
1734	2829	1734	40
1606	1575	1606	40
3944	3944		40
700	700		40
3936	4177	3936	40
2991	3006	2991	40
1951	1951		40
1980	1980		40
3710	3710		40
4373	4373		40
1551	3783	3782	40
2901	3580	494	40
405	4280		40
358	1533	149,2568	40
395	4087		40
3294	3294		40
1111	2715	1583,2710,3679	40
1111	3554	1583,3556,3680	40
284	4746	4744	40
112	116	112	39
1550	2872	1550	39
2027	2027		39
2941	2941		39
857	857		39
856	856		39
337	3645		39
1111	2713	1583,2709,3681	39
110	2694		39
1152	4607	1152,4117	38
580	580		38
189	2184	189	38
499	3882	499	38
360	360		38
3317	3318	3317	38
1551	3560		38
3916	3916		38
11	4101	1542	38
4789	4384	485	38
1093	3283	376,475,1093,1662	37
713	713		37
674	674		37
375	2983	375	37
1322	2254	1322,1326,2253	37
337	3507	337,3646	37
2215	3186	2215,3187	37
1551	3781	2738,3401	37
2371	2371		37
4776	366	4777	37
3194	3895		37
3436	3436		37
3327	4179	1090,2960,3224	37
1300	1300		36
337	1594	337,1584,3012	36
3808	3263	3808	36
4776	4778	4776	36
640	640		36
3410	3483	200,2817,3410	36
3808	1603	1133,3808	36
1027	3963		36
1297	1297		36
1886	1886		36
3624	3623		36
3705	3705		36
2218	3836		36
	3609		36
337	3643		36
1839	1839		36
11	1599	11,1542	35
3993	4184	3993	35
1059	1059		35
346	1271	346	35
7	2760	7	35
2724	1704	2724	35
2134	2170	2134,2135	35
217	2836	217	35
4236	4236		35
3712	3712		35
1470	1488		35
1194	2973	3026	35
2579	2579		35
1742	1742		35
2724	2729	2724	34
4450	4451	4450	34
13	3350	13,60,347	34
1049	1049		34
932	932		34
687	687		34
3413	3682	3413	34
2369	2369		34
842	842		34
1550	3582	1550,2004	34
411	4723		34
2468	2040		34
4097	4226	4097	34
1551	2998	1767	34
1838	1838		34
1058	1058		34
545	545		33
2468	2429	2468	33
3998	4078	3998	33
1908	2827	274,1763,1908	33
176	3008	176,487,1248	33
1295	3233	1295,3027	33
4676	4678	4676	33
358	358		33
2221	3083	2221	33
3219	3219		33
2213	1643	1413,2213	33
3327	3225	1090,2960	33
110	2619	3041	33
2148	2156	2148,2150	32
11	2191	11,198	32
2807	2803	2807	32
3809	3810	3809	32
1060	1060		32
665	665		32
4676	4674	4676	32
270	2959	270	32
2724	2732	2724	32
79	2337	79	32
513	214	513	32
750	750		32
176	4815	176,178	32
2068	2068		32
762	762		32
1459	1727		32
7	1046		32
2901	2901		32
4076	4076		32
3620	3617		32
3327	3208	1090,3327	31
2680	371	2030,2680	31
1155	2779	1155	31
529	529		31
669	669		31
996	996		31
1081	1081		31
557	557		31
1551	2548	1551	31
3194	3267	3201	31
262	339	262	31
513	387	513	31
1283	2048	1283,1543	31
11	1698	11,215,1366	31
2147	2248	1904	31
11	4100	1542	31
1111	3679	1583	31
75	1287	75,1285	30
1534	201	1534,1546	30
1871	3071	1871	30
4208	4215	4208,4212	30
1831	2912	118,1831	30
112	2464	112	30
819	819		30
1822	2056	1822	30
4489	4489		30
3194	3896	3194	30
1111	1741	1583	30
3461	3462	3461	30
1534	1937	1534,2801	30
4163	4163		30
3258	1440	3258	30
2586	2601	2586	30
1551	3559		30
2213	1847	3823	30
1111	2934	1111,1583	30
2219	4251	1344,2219	30
2361	2361		30
3327	3175	1090,3327	30
1551	3779	2738,3401	30
2977	2977		30
11	2262	11,1498,1540	29
1550	2517	1550	29
4198	4199	4198	29
632	632		29
648	648		29
736	736		29
1125	1807	1125	29
3436	3439	3436	29
1445	2198	1445,2194	29
543	543		29
3757	3757		29
2976	2976		29
4336	4340	4339	29
4306	4306		29
1535	3860	478	29
1194	3247	3026	29
3327	3329	3180	29
2668	2668		29
643	643		29
363	4562		29
3274	3274		29
3654	3654		29
1310	382	1310	28
13	4045	13,348,1995	28
4024	4289	4024	28
1529	4569	1529,4568	28
141	4610	141	28
1470	273	1470	28
912	912		28
4730	4730		28
1641	1646	1641	28
337	3506	337,3643	28
1981	1981		28
2049	1756	1755,2049	28
2215	3187	2215	28
1615	3503	1615	28
1868	1868		28
1091	4528		28
3597	3595	3593	28
637	1773	637,3819	28
1551	4016	1551,1767,2998	28
1451	1451		28
4737	4737		28
176	4011	1105,4009	28
1551	4153		28
1014	1014		27
1086	1086		27
13	1801	13,347	27
11	3575	11,282,1675,3305	27
658	658		27
176	2947	176,281,1779	27
1093	1164	475,1093	27
2586	2605	2586	27
2807	2807		27
2072	2072		27
1734	4424	1734	27
3637	3638		27
1831	1345	124,3213	27
1535	4277	478	27
3327	3182	3180	27
2221	3083		27
2215	3830	2215	27
2069	2069		27
2932	4691		27
4106	4732		27
719	719		27
13	1812	13,347	26
262	471	262	26
672	672		26
4099	4488	4099	26
664	664		26
337	3588	337,3645	26
4604	4604		26
1604	3422	1604	26
2586	2603	2586	26
1936	4006	4004	26
740	740		26
1091	4222	4219	26
1551	1595	1551	26
1740	1740		26
2469	2426		26
13	4082	347,1801	26
2212	28	2212	25
4660	4660		25
2320	2770	2320,2766	25
405	4282	405	25
620	620		25
99	4202	99	25
804	804		25
405	4056		25
3773	3773		25
3410	3518	200,204,2817,3410	25
3327	3207	3180,3327	25
3093	3093		25
3480	3479	3480	25
4132	4114	4132	25
1492	2244		25
1283	1284	1283	25
1111	1361	1583	25
513	1525	513	25
1835	1835		25
2049	1580		25
2940	2940		25
176	1107	1105	25
11	373	1498,1540	25
1551	3546		25
3327	1328	1090,3327	24
1831	1280	124,1831	24
513	1011		24
1939	1601	1939	24
13	4176	13,347	24
3976	3977	3976	24
129	2286	129	24
1093	1659	1093,1657	24
2724	2728	2724	24
4246	4246		24
1534	2801	1534	24
1551	2931	1551	24
1286	4272	135,182,1286	24
337	1138	337	24
1295	3232	1295,3027	24
1535	3856	478	24
2383	2383		24
81	4727	81,4724	24
1551	4014	1551,1767,2999	24
1550	2245	1550	24
2586	2600	2586	24
4516	4516		24
1470	3289		24
3327	4301	1090,2960	24
2586	2599		24
1840	1840		24
4498	4498		24
1831	3446	118,1831,3444	23
513	1020	513	23
2148	2155	2148,2149	23
162	2318	162	23
1093	4768	1093,1238,3626,3628	23
1115	4268	1115	23
659	659		23
992	992		23
541	541		23
1056	1056		23
1005	1005		23
1520	1520		23
1831	2493	118,1831,2384,2495,3487	23
1970	1970		23
4789	4334	486,4789	23
1954	1954		23
334	334		23
1111	1741	1111,1583	23
2795	4573	4570	23
358	2830	202,2569	23
2216	3841		23
2134	2171	2138	23
1470	1474		23
2340	3253		23
2134	2139	2134,2136	22
418	4644	418	22
1310	4657	397,1310	22
2449	4791	2449,2452	22
346	4579	346	22
1877	2423	1877	22
1908	1763	274,1908	22
3997	4064	3997	22
2468	2472	2468	22
513	519	513	22
830	830		22
2838	2841	2838,2839	22
1551	2550	1551	22
683	683		22
2134	2176	2134,2173	22
176	4000	176,281,1917	22
1470	1475		22
3808	1133	3808	22
2724	2734	2727	22
4182	4182		22
2226	2226		22
4137	4138		22
408	237	408,4781	21
1534	2231	1534,2801	21
358	2832	202,358,2569	21
637	2264	637,3067,3822	21
2445	2446	2445	21
176	3085	176	21
1831	3673	1831,3131,3672	21
3809	3811	3809	21
162	172	162	21
2843	2845	2843,2847	21
2652	3524	2652	21
1368	1191		21
11	3307	11,1542	21
1950	1950		21
11	3049	11,215,1258,1366,1697	21
1111	1738	1111,1583	21
1295	3226	2971,3027	21
189	1791	1731,1732,1790,3684	21
3875	3875		21
78	4786	2310,2311	21
4738	4738		21
3391	3391		21
4789	4335	486	21
117	2395	117,1267	20
1111	3532	1111,1583,2934	20
2724	2736	2732	20
2216	297	2216	20
3410	3517	200,204,2817,3410	20
4375	4375		20
4390	4406	4390	20
2320	2776	2763	20
1470	1472		20
637	3343	3344	20
2220	4263	1139,1324	20
1295	4495	1295	20
129	2513	1292,2509,2512	20
1295	2970	3027	20
955	955		20
1027	3966	3961	20
4567	4567		20
337	3640		20
3378	3377	3380	20
4614	4614		20
2214	1684	1683	20
3620	3619	3617	20
1075	1075		19
1205	3381	1205	19
32	2762	32,34	19
1310	380	1310	19
907	907		19
898	898		19
1668	4605	1668	19
1093	3033	1093,1657	19
1672	1197	1672	19
11	3306	11,1540	19
1551	3398	1551	19
598	598		19
1295	3228	1295	19
1831	3447	118,1831,3444,3446	19
176	4033	2565,4029	19
1534	2092	1534,1546	19
1958	1958		19
245	1999		19
176	4035	2565,4029	19
2134	2140	2136	19
1198	1198		19
2220	4265	1139	19
2219	3851		19
2148	2163	2153	19
2219	2120	1355	19
2049	1580	2049	19
2449	3068	496	19
2396	2396		19
4345	4345		19
1831	2230	124,1831	18
1535	3859	478	18
189	1790	189,1731,1732,3684	18
1286	2697	135,1286,2696	18
633	633		18
405	4281		18
989	989		18
1459	1459		18
11	1697	11,215,1366	18
337	3012	337	18
649	649		18
1952	1952		18
110	2618	110,3042	18
4789	4334	486	18
1630	3542	1630	18
1715	4393		18
3973	3973		18
1027	4049	3961	18
642	642		18
1551	4119	2738,3401	18
1831	1118	118,1831	17
2320	2773	2320,2765	17
681	681		17
2585	2594	2585	17
226	1883	226,227,228	17
723	723		17
4681	4682	4681	17
2724	2727	2724	17
2219	1344	2219	17
904	904		17
1111	3540	1111,1583	17
3994	3994		17
3741	3721	3741	17
3756	3756		17
4336	4341	4339	17
35	3666		17
1535	3859	478,1535	17
513	1007	46,513	17
3258	1440		17
1091	4221	4219	17
3724	3729	3742	17
230	230		17
1551	1147		17
3364	3367	3368	17
93	4770		17
3701	3622		17
3194	3269	3201	17
4599	4599		17
3154	3154		17
3327	3177	1090,1328	17
1544	2209	26,1544	16
4456	2074	4456	16
1470	1476	1470	16
4105	4639	4105	16
32	62	32,34	16
682	682		16
890	890		16
408	4617	408,4616	16
747	747		16
262	489	262	16
1083	1083		16
2724	1703	2724	16
117	3091	117	16
2838	2842	2838,2839	16
1283	502	1283,1543	16
3005	4181	3005	16
1391	4559	1391,2503	16
407	407		16
112	2233	112,2392	16
1615	3501	1615	16
349	4583		16
2294	2294		16
1390	1390		16
11	1695	215,1366	16
1948	2753		16
349	4249		16
3591	3591		16
631	631		16
862	862		16
2488	2488		16
3327	2960	1090,3327	15
1544	1627	1544	15
1076	1076		15
2213	1414	2213	15
2843	2848	2843,2846	15
1082	1082		15
707	707		15
1470	1471		15
15	1378	15	15
254	2539	254,1092	15
666	666		15
2215	3403	1393,2215	15
1831	4673	118,1831,3670,4296,4298	15
337	3013	337	15
889	889		15
11	3050	11,215,1258,1366,1697	15
1295	4158	1295	15
2468	2032		15
324	1725	324	15
2449	3900	2449	15
1158	3032	1158	15
162	3066	162	15
1552	2881	1552	15
3327	3184	3180,3183,3327	15
3754	3754		15
650	650		15
2675	2675		15
2134	2169	2136	15
1295	2968	3027	15
2220	1330		15
1222	1222		15
1125	1561	1125,1560	15
3464	3464		15
1152	4554		15
980	980		15
2215	3834		15
2214	1688	1320,1683,2214	15
4097	4798	4097	14
3392	1972		14
4504	1375	362,4504	14
1470	1482	1470	14
1050	1050		14
95	2329	95	14
148	1130	148,1128	14
3491	3490	3491	14
671	671		14
3194	3270	3194,3201	14
375	3280	375	14
162	169	162	14
112	2483	112	14
1322	4626	1322,2414,4624	14
616	616		14
1368	1190	1368	14
1604	3424	1604	14
2221	3028	2221	14
1295	3238	1295	14
4499	4499		14
2584	2613		14
513	4814	514	14
1551	4016	1767,2998	14
3327	3206	1090	14
1908	1810	274,1763	14
3724	3732	3743	14
3936	4722		14
1551	2890	1551	14
4382	4382		14
11	1170	215,1366	14
3713	3713		14
3769	3769		14
148	1203	1054,1128	14
1551	3401		14
503	1609	503	13
1048	1048		13
