subclass	direct_parent	intermediate_nodes	rows
70	70		6485
4789	2314	485,4789	6481
3953	3953		6469
408	3459	3457	6457
1850	1850		6451
1272	1273		6430
1347	1347		6372
1168	1168		6372
56	1896		6367
4377	4377		6359
1445	516	2194	6351
3317	3318		6341
13	1224	60,347	6338
4121	4121		6323
1027	3962		6315
4628	4628		6306
2182	2182		6288
1438	1438		6257
2313	2313		6254
1272	1275		6223
1518	1518		6221
4157	4160		6219
4785	4785		6211
4007	4007		6207
4193	4193		6204
3410	2339		6204
1818	1818		6198
337	337		6166
13	4317	13,60,347	6139
1415	1415		6134
2031	2031		6123
2957	2957		6100
3893	3893		6096
2049	1755		6080
1194	3058		6078
1142	1142		6063
3940	3940		6059
2496	1820	2496	6019
61	61		5995
2389	2389		5985
501	501		5979
285	4719	1846,4716	5970
75	1122	291	5959
2572	2572		5958
1093	1662	475	5950
1013	2364		5939
4450	4450		5938
2213	3829		5931
108	108		5916
7	1045		5896
84	84		5891
3484	3485		5870
1911	1911		5847
1032	1032		5828
13	348	13	5774
2321	2321		5774
11	2259	1497,1540	5768
285	4756	285,4712,4755	5759
162	174	172	5758
1391	2505	59	5729
1158	2089		5704
401	401		5683
408	1266		5658
402	402		5640
2215	3830		5629
6	6		5620
162	2362	167	5590
2246	2246		5555
1527	1527		5549
13	271	318,347	5520
4418	4418		5514
226	226		5494
3496	3496		5475
176	1248		5455
1550	101		5450
1983	1983		5445
262	489		5443
3408	3408		5403
2926	2926		5396
13	4323	13,60,347	5393
2118	2118		5392
2128	2128		5392
3738	3718	3740	5376
1213	1913		5376
2581	2581		5372
185	4204	185	5367
2609	2609		5350
13	4314	13,60,347	5343
262	333		5333
1550	2440		5331
4491	4491		5330
2782	2782		5330
3809	3813		5323
176	1106	1105	5296
436	436		5287
186	188	186	5285
1093	4252	475,3922	5272
2838	290	2840	5270
129	2467	2286	5246
1650	1650		5245
123	123		5240
155	155		5200
1169	1169		5198
3637	3637		5163
1445	260	2194	5160
79	2337		5144
1630	3472		5098
93	2326		5098
1641	1641		5094
1871	4686	2349	5093
1548	3001		5068
2838	17	2840	5029
1270	1270		5028
4188	4188		5015
1551	1357		5013
1831	4297	118,1831,3670,4296	5009
1322	2414	1322	4993
637	3067	3822	4973
1510	1510		4970
1551	1757		4941
2091	2091		4936
1369	1369		4924
11	215		4915
2211	2211		4914
2497	4196	2497	4858
463	463		4853
1606	1606		4801
2132	2133		4779
95	2329		4747
4139	4139		4740
177	177		4713
75	4531	1893	4710
358	202	2569	4706
3007	3007		4698
176	2565	176	4693
2835	2835		4648
1022	1022		4640
150	150		4614
250	250		4589
	4		4587
13	4312	13,60,347	4577
13	4322	13,60,347	4568
2005	2005		4548
2391	2391		4534
4140	4140		4528
11	1675	282,3305	4506
3413	199		4502
3809	1647	1129	4482
408	3460	3457	4472
226	1923		4436
1209	1209		4434
176	4815	178	4426
2585	2592		4422
1125	1559	1555	4386
1831	4808	118	4372
1855	2558		4365
1111	1583		4353
1093	4817	475,1093	4340
3410	2817		4316
	2		4312
29	29		4302
83	2640		4290
11	2815	215,374,2094	4287
1831	3978	124,1345,3213	4270
3491	1126		4241
1553	2380		4239
285	1846	285	4235
1831	2494	118,2384,2495,3487	4224
53	4537	53	4212
176	4699	1350	4206
1200	1200		4198
1965	1965		4192
2449	470		4191
1276	1276		4189
1831	280	118	4180
1093	1166		4177
316	316		4176
1743	1743		4176
337	1632		4168
75	4486		4156
284	3999	284	4113
3194	4479	3194,4445	4106
50	50		4102
381	381		4099
1213	1914	1213	4073
1548	3000		4065
117	2375	1673	4061
41	3954	52	4041
1908	274	1908	4032
2306	2306		4027
1895	1895		4026
88	88		4014
1831	1373	3131,3672	4011
11	2813	215,374,2094	3999
3912	3912		3979
1655	1655		3969
2218	1681	1377	3962
72	72		3958
2945	2945		3955
414	3951		3954
254	4472	254,1656	3953
2953	2953		3948
1554	1410	1277	3943
2554	2555		3938
1093	1165		3931
1236	1236		3930
189	1976	189	3913
3567	1403		3905
99	3315	99,2183	3884
392	370	392	3876
1416	1416		3873
1283	1770	1543	3871
2195	2195		3847
2320	2774	2765	3797
2449	2452		3791
4416	4416		3769
2651	356		3768
2049	4081		3764
4151	4151		3762
176	2611	2565	3744
1551	3788		3710
1691	1490		3705
117	2394	1267	3699
1969	1969		3696
1831	3671	118,1831,3670	3694
2908	2907		3693
4789	2378	486	3692
3815	1135	3815	3691
2217	332		3680
1334	2518		3678
32	4309	32	3667
3317	3317		3666
2320	2773	2765	3652
2756	2756		3641
4407	4407		3639
1890	1890		3633
11	282	11,3305	3631
226	1883	227,228	3630
4409	4409		3621
2036	2036		3617
4403	4008	4403	3607
3194	3205	4446	3600
2216	3839		3589
75	2222	75,2202	3585
254	128	254	3580
2218	1395		3579
35	1098	35	3574
4105	4105		3567
1322	4627	2414,4624	3549
1831	2122	118,125,3487	3545
162	4411	168,173	3543
162	170	162	3539
1359	1359		3538
2219	2219		3533
2838	2840		3530
1445	1104	2194	3524
1831	2913	118	3523
4327	4327		3514
176	2515	176,487,1248	3513
4396	4396		3512
1586	1586		3511
2449	2460		3492
4565	4565		3484
176	3008	487,1248	3483
2449	1145	1897,2460	3457
2320	2772	2766	3448
2320	2769	2764	3432
1263	1256		3425
1550	3655		3424
375	474		3402
490	4705		3402
1418	1418		3399
4823	4823		3371
1295	3236		3370
1831	2436	2433,3131	3368
1322	2253	1322,1326	3361
1286	136		3349
2608	2608		3347
410	410		3344
2642	2642		3339
321	4414	4704	3331
